ID_EQUIPO,ID_EQUIPO_PERIODICIDAD
259,562
278,104
22,356
188,146
307,417
100,108
67,263
9,160
155,510
242,337
6,149
164,603
205,358
315,289
292,547
206,362
302,211
60,335
280,109
246,352
30,388
160,519
249,264
193,581
348,144
355,596
97,103
313,429
33,399
190,154
127,218
186,248
219,531
181,230
324,490
301,587
345,138
250,268
334,509
317,293
90,196
109,113
297,132
178,220
256,565
255,101
283,88
55,316
243,341
222,542
57,324
18,460
153,505
17,456
40,71
247,257
120,136
126,216
337,515
285,92
152,503
306,219
364,231
94,204
254,98
211,381
19,464
133,426
45,255
328,498
350,442
354,595
284,90
332,506
73,100
336,513
83,183
229,299
207,366
202,465
52,410
294,551
114,550
191,158
150,499
225,80
203,469
117,131
96,208
266,186
238,321
271,197
69,271
218,527
320,573
173,443
189,150
248,260
92,200
343,285
81,177
56,320
1,239
86,189
132,424
70,274
318,295
37,533
252,276
326,494
113,548
11,117
43,82
286,94
107,95
208,370
177,594
183,237
2,242
214,393
87,190
124,212
91,198
170,141
299,137
276,207
135,430
121,584
72,96
333,508
23,360
236,313
141,572
151,501
145,489
41,74
261,171
156,512
262,175
331,504
175,446
240,329
4,250
39,541
27,376
102,85
213,389
269,193
263,179
351,445
184,240
20,468
357,1
166,284
182,233
231,307
3,246
291,545
311,425
322,598
200,457
172,441
116,554
38,537
48,304
180,226
103,87
89,194
15,449
71,278
24,364
314,431
161,599
233,408
64,350
272,199
74,563
309,421
220,535
129,418
277,209
358,2
274,203
361,222
34,522
78,166
84,185
106,93
223,73
353,593
28,380
287,110
42,78
204,473
104,89
167,286
115,552
123,210
169,139
49,308
157,514
62,343
165,282
59,332
31,392
139,294
76,557
130,420
340,600
298,134
342,283
335,511
134,428
338,517
346,140
325,492
209,373
290,253
363,229
128,416
12,121
110,115
228,590
58,328
32,395
125,214
118,133
217,523
344,287
192,162
99,106
321,575
347,142
210,377
341,604
293,549
82,181
93,202
288,112
168,288
75,567
50,404
147,493
185,244
319,571
131,422
289,114
329,500
158,516
360,4
108,111
112,546
281,434
232,403
296,555
44,34
146,491
143,576
5,145
105,91
221,539
174,444
304,215
245,348
517,178
367,238
270,195
239,325
162,601
260,167
148,495
268,191
68,267
101,433
26,372
267,188
47,300
234,412
327,496
88,192
144,256
142,574
29,384
352,591
77,561
230,303
8,157
51,407
171,143
163,602
13,125
251,272
226,84
365,234
196,126
140,570
237,317
198,450
63,347
95,206
187,252
16,452
119,135
136,432
111,544
356,597
369,243
199,453
197,130
66,259
330,502
212,385
295,553
85,187
265,184
14,129
273,201
282,86
79,169
227,254
149,497
61,339
244,345
323,488
305,217
275,205
10,580
138,292
366,236
257,569
159,518
362,227
308,419
154,507
195,122
36,529
54,312
46,296
241,333
224,77
235,415
368,241
300,585
194,118
312,427
7,153
264,182
53,414
349,440
253,280
179,224
279,107
370,245
215,397
258,558
339,520
25,368
98,105
303,213
80,173
122,586
176,592
310,423
65,354
137,290
21,471
201,461
359,3
35,526
216,401
316,291
