ID_EQUIPO,ID_EQUIPO_PERIODICIDAD
583,52
555,476
401,454
423,379
581,50
392,120
587,56
477,326
457,298
413,359
489,351
394,123
564,485
510,556
469,310
436,525
511,559
382,161
540,27
408,467
509,568
599,68
410,472
453,35
478,327
418,369
545,32
399,448
516,170
446,72
524,11
594,63
493,261
431,396
536,23
468,413
521,8
596,65
483,338
434,521
424,382
484,340
472,315
580,49
464,405
441,536
411,474
579,48
435,524
430,394
563,484
450,81
480,331
528,15
506,102
567,36
542,29
465,406
568,37
492,258
485,342
543,30
535,22
376,148
561,482
404,459
519,6
443,540
452,33
569,38
375,147
476,323
421,375
573,42
501,277
525,12
527,14
422,378
417,367
445,70
455,589
496,266
466,409
544,31
390,228
553,579
541,28
461,306
438,530
490,353
467,411
456,297
459,302
565,486
595,64
557,478
604,607
371,610
560,481
503,281
513,164
406,463
520,7
585,54
395,124
582,51
451,83
372,249
515,168
530,17
433,400
470,311
559,480
494,262
482,336
400,451
514,165
588,57
437,528
572,41
523,10
420,374
373,251
462,309
538,25
381,159
571,40
592,61
575,44
432,398
481,334
550,439
429,391
600,69
529,16
474,319
558,479
407,466
449,79
551,577
593,62
546,435
578,47
547,436
591,60
566,487
416,365
532,19
398,447
526,13
507,564
533,20
508,566
402,455
374,116
488,349
562,483
499,273
389,225
397,128
385,582
454,588
512,560
384,163
440,534
548,437
497,269
409,470
426,386
486,344
475,322
556,477
448,76
378,152
504,97
403,458
495,265
498,270
598,67
539,26
518,5
491,355
460,305
537,24
425,383
549,438
471,314
427,387
442,538
576,45
500,275
570,39
473,318
428,390
574,43
531,18
597,66
383,221
586,55
463,402
590,59
393,235
479,330
405,462
412,357
439,532
584,53
415,363
391,232
552,578
577,46
419,371
377,151
447,75
380,156
522,9
534,21
458,301
388,223
589,58
414,361
554,475
396,127
502,279
379,155
505,99
444,543
387,119
487,346
386,583
